Abbottabad(34.15|73.2167),Islamabad(33.6989|73.0369)
Attock(33.7667|72.3667),"Rawalpindi(33.6007|73.0679), Chakwal(32.93|72.85), Mianwali(32.5853|71.5436), Sargodha(32.0836|72.6711), Khushab(32.2917|72.35), Islamabad(33.6989|73.0369)"
Badin(24.6558|68.8383),Karachi(24.86|67.01)
Bahawalpur(29.3956|71.6722),"Multan(30.1978|71.4711), Rahim Yar Khan(28.4202|70.2952), Sahiwal(30.6706|73.1064), Dera Ghazi Khan(30.05|70.6333)"
Bannu(32.9889|70.6056),"Karak(33.1167|71.0833), Kohat(33.5869|71.4414), Dera Ismail Khan(31.8167|70.9167)"
Bhakkar(31.6333|71.0667),"Mianwali(32.5853|71.5436), Sargodha(32.0836|72.6711)"
Chakwal(32.93|72.85),"Attock(33.7667|72.3667), Islamabad(33.6989|73.0369), Rawalpindi(33.6007|73.0679)"
Chaman(30.921|66.4597),Quetta(30.192|67.007)
Charsadda(34.1453|71.7308),"Peshawar(34|71.5), Mardan(34.1958|72.0447), Swabi(34.1167|72.4667), Nowshera(34.0153|71.9747)"
Dera Bugti(29.0362|69.1585),"Quetta(30.192|67.007), Sibi(29.543|67.8773)"
Dera Ghazi Khan(30.05|70.6333),"Rajanpur(29.1041|70.3297), Muzaffargarh(30.0703|71.1933), Sahiwal(30.6706|73.1064), Rajanpur(29.1041|70.3297), Jaffarabad(28.75|68), Bahawalpur(29.3956|71.6722), Rahim Yar Khan(28.4202|70.2952)"
Dera Ismail Khan(31.8167|70.9167),"Bannu(32.9889|70.6056), Sibi(29.543|67.8773)"
Dir(35.1977|71.8749),"Malakand(34.5656|71.9304), Mardan(34.1958|72.0447), Peshawar(34|71.5)"
Faisalabad(31.418|73.079),"Lahore(31.5497|74.3436), Jhang(31.2681|72.3181), Toba Tek Singh(30.9667|72.4833), Sargodha(32.0836|72.6711), Gujranwala(32.15|74.1833), Sahiwal(30.6706|73.1064), Jaranwala(31.3342|73.4194), Okara(30.81|73.4597)"
Gujranwala(32.15|74.1833),"Lahore(31.5497|74.3436), Sheikhupura(31.7083|74), Hafizabad(32.0709|73.688), Sialkot(32.5|74.5333), Gujrat(32.5736|74.0789), Mandi Bahauddin(32.5861|73.4917), Faisalabad(31.418|73.079), Sargodha(32.0836|72.6711)"
Gujrat(32.5736|74.0789),"Gujranwala(32.15|74.1833), Jhelum(32.9333|73.7333), Sargodha(32.0836|72.6711), Mandi Bahauddin(32.5861|73.4917), Hafizabad(32.0709|73.688), Jaranwala(31.3342|73.4194), Islamabad(33.6989|73.0369), Rawalpindi(33.6007|73.0679), Sialkot(32.5|74.5333)"
Gwadar(25.1264|62.3225),"Karachi(24.86|67.01), Khuzdar(27.8|66.6167), Lasbela(25.4833|65.4167), Turbat(26.0031|63.0544)"
Hafizabad(32.0709|73.688),"Gujranwala(32.15|74.1833), Gujrat(32.5736|74.0789), Lahore(31.5497|74.3436)"
Hyderabad(25.3792|68.3683),"Karachi(24.86|67.01), Mirpurkhas, Sanghar(26.0464|68.9481), Nawabshah(26.2442|68.41), Tando Allahyar(25.4667|68.7167)"
Islamabad(33.6989|73.0369),"Rawalpindi(33.6007|73.0679), Abbottabad(34.15|73.2167), Jhelum(32.9333|73.7333), Gujrat(32.5736|74.0789), Attock(33.7667|72.3667), Chakwal(32.93|72.85)"
Jacobabad(28.2769|68.4514),"Larkana(27.56|68.2264), Shikarpur(27.9556|68.6382), Sukkur(27.6995|68.8673)"
Jaffarabad(28.75|68),"Dera Ghazi Khan(30.05|70.6333), Rajanpur(29.1041|70.3297)"
Jamshoro(25.4283|68.2822),Karachi(24.86|67.01)
Jaranwala(31.3342|73.4194),"Faisalabad(31.418|73.079), Gujrat(32.5736|74.0789)"
Jhang(31.2681|72.3181),"Faisalabad(31.418|73.079), Sargodha(32.0836|72.6711)"
Jhelum(32.9333|73.7333),"Rawalpindi(33.6007|73.0679), Gujrat(32.5736|74.0789), Sargodha(32.0836|72.6711), Mianwali(32.5853|71.5436), Khushab(32.2917|72.35), Islamabad(33.6989|73.0369)"
Kalat(29.0258|66.59),"Khuzdar(27.8|66.6167), Quetta(30.192|67.007)"
Karachi(24.86|67.01),"Hyderabad(25.3792|68.3683), Thatta(24.7461|67.9243), Badin(24.6558|68.8383), Jamshoro(25.4283|68.2822), Gwadar(25.1264|62.3225), Lasbela(25.4833|65.4167)"
Karak(33.1167|71.0833),"Bannu(32.9889|70.6056), Kohat(33.5869|71.4414)"
Kashmore(28.4482|69.5857),"Sukkur(27.6995|68.8673), Shikarpur(27.9556|68.6382)"
Khairpur(27.5295|68.7592),"Larkana(27.56|68.2264), Nawabshah(26.2442|68.41), Sukkur(27.6995|68.8673)"
Khanewal(30.3017|71.9321),"Multan(30.1978|71.4711), Rahim Yar Khan(28.4202|70.2952)"
Khushab(32.2917|72.35),"Attock(33.7667|72.3667), Jhelum(32.9333|73.7333), Sargodha(32.0836|72.6711), Mianwali(32.5853|71.5436)"
Khuzdar(27.8|66.6167),"Turbat(26.0031|63.0544), Kalat(29.0258|66.59), Lasbela(25.4833|65.4167), Gwadar(25.1264|62.3225), Quetta(30.192|67.007), Sibi(29.543|67.8773)"
Kohat(33.5869|71.4414),"Karak(33.1167|71.0833), Bannu(32.9889|70.6056), Peshawar(34|71.5)"
Lahore(31.5497|74.3436),"Faisalabad(31.418|73.079), Sheikhupura(31.7083|74), Gujranwala(32.15|74.1833), Sargodha(32.0836|72.6711), Hafizabad(32.0709|73.688), Okara(30.81|73.4597)"
Larkana(27.56|68.2264),"Shikarpur(27.9556|68.6382), Sukkur(27.6995|68.8673), Jacobabad(28.2769|68.4514), Khairpur(27.5295|68.7592)"
Lasbela(25.4833|65.4167),"Turbat(26.0031|63.0544), Khuzdar(27.8|66.6167), Gwadar(25.1264|62.3225), Karachi(24.86|67.01)"
Malakand(34.5656|71.9304),"Dir(35.1977|71.8749), Swat(35.2227|72.4258), Mohmand(34.5356|71.2874), Mardan(34.1958|72.0447), Peshawar(34|71.5)"
Mandi Bahauddin(32.5861|73.4917),"Gujranwala(32.15|74.1833), Gujrat(32.5736|74.0789), Sargodha(32.0836|72.6711)"
Mardan(34.1958|72.0447),"Peshawar(34|71.5), Swabi(34.1167|72.4667), Swat(35.2227|72.4258), Malakand(34.5656|71.9304), Dir(35.1977|71.8749), Mohmand(34.5356|71.2874), Charsadda(34.1453|71.7308)"
Mianwali(32.5853|71.5436),"Attock(33.7667|72.3667), Jhelum(32.9333|73.7333), Sargodha(32.0836|72.6711), Bhakkar(31.6333|71.0667), Khushab(32.2917|72.35), Rawalpindi(33.6007|73.0679)"
Mohmand(34.5356|71.2874),"Malakand(34.5656|71.9304), Mardan(34.1958|72.0447)"
Multan(30.1978|71.4711),"Muzaffargarh(30.0703|71.1933), Bahawalpur(29.3956|71.6722), Sahiwal(30.6706|73.1064), Khanewal(30.3017|71.9321), Okara(30.81|73.4597), Rahim Yar Khan(28.4202|70.2952)"
Muzaffargarh(30.0703|71.1933),"Dera Ghazi Khan(30.05|70.6333), Multan(30.1978|71.4711)"
Nawabshah(26.2442|68.41),"Hyderabad(25.3792|68.3683), Sanghar(26.0464|68.9481), Khairpur(27.5295|68.7592), Sukkur(27.6995|68.8673)"
Nowshera(34.0153|71.9747),"Charsadda(34.1453|71.7308), Peshawar(34|71.5)"
Okara(30.81|73.4597),"Lahore(31.5497|74.3436), Sahiwal(30.6706|73.1064), Faisalabad(31.418|73.079), Multan(30.1978|71.4711), Sheikhupura(31.7083|74)"
Pashin(30.5833|67),Quetta(30.192|67.007)
Peshawar(34|71.5),"Charsadda(34.1453|71.7308), Mardan(34.1958|72.0447), Nowshera(34.0153|71.9747), Kohat(33.5869|71.4414), Swabi(34.1167|72.4667), Malakand(34.5656|71.9304), Dir(35.1977|71.8749)"
Quetta(30.192|67.007),"Pashin(30.5833|67), Chaman(30.921|66.4597), Zhob(31.3417|69.4486), Dera Bugti(29.0362|69.1585), Kalat(29.0258|66.59), Sibi(29.543|67.8773), Khuzdar(27.8|66.6167)"
Rahim Yar Khan(28.4202|70.2952),"Sahiwal(30.6706|73.1064), Multan(30.1978|71.4711), Khanewal(30.3017|71.9321), Rajanpur(29.1041|70.3297), Dera Ghazi Khan(30.05|70.6333), Bahawalpur(29.3956|71.6722)"
Rajanpur(29.1041|70.3297),"Dera Ghazi Khan(30.05|70.6333), Rahim Yar Khan(28.4202|70.2952), Jaffarabad(28.75|68)"
Rawalpindi(33.6007|73.0679),"Islamabad(33.6989|73.0369), Jhelum(32.9333|73.7333), Gujrat(32.5736|74.0789), Chakwal(32.93|72.85), Attock(33.7667|72.3667), Mianwali(32.5853|71.5436)"
Sahiwal(30.6706|73.1064),"Bahawalpur(29.3956|71.6722), Dera Ghazi Khan(30.05|70.6333), Faisalabad(31.418|73.079), Multan(30.1978|71.4711), Okara(30.81|73.4597), Rahim Yar Khan(28.4202|70.2952), Sargodha(32.0836|72.6711), Sheikhupura(31.7083|74)"
Sanghar(26.0464|68.9481),"Hyderabad(25.3792|68.3683), Nawabshah(26.2442|68.41)"
Sargodha(32.0836|72.6711),"Mianwali(32.5853|71.5436), Khushab(32.2917|72.35), Faisalabad(31.418|73.079), Jhang(31.2681|72.3181), Gujranwala(32.15|74.1833), Sahiwal(30.6706|73.1064), Mandi Bahauddin(32.5861|73.4917), Bhakkar(31.6333|71.0667), Gujrat(32.5736|74.0789), Jhelum(32.9333|73.7333), Lahore(31.5497|74.3436)"
Sheikhupura(31.7083|74),"Lahore(31.5497|74.3436), Gujranwala(32.15|74.1833), Sahiwal(30.6706|73.1064), Okara(30.81|73.4597)"
Shikarpur(27.9556|68.6382),"Sukkur(27.6995|68.8673), Jacobabad(28.2769|68.4514), Larkana(27.56|68.2264), Kashmore(28.4482|69.5857)"
Sialkot(32.5|74.5333),"Gujranwala(32.15|74.1833), Gujrat(32.5736|74.0789)"
Sibi(29.543|67.8773),"Dera Bugti(29.0362|69.1585), Dera Ismail Khan(31.8167|70.9167), Quetta(30.192|67.007), Khuzdar(27.8|66.6167)"
Sukkur(27.6995|68.8673),"Jacobabad(28.2769|68.4514), Larkana(27.56|68.2264), Shikarpur(27.9556|68.6382), Kashmore(28.4482|69.5857), Khairpur(27.5295|68.7592), Nawabshah(26.2442|68.41)"
Swabi(34.1167|72.4667),"Charsadda(34.1453|71.7308), Mardan(34.1958|72.0447), Peshawar(34|71.5)"
Swat(35.2227|72.4258),"Malakand(34.5656|71.9304), Mardan(34.1958|72.0447)"
Tando Allahyar(25.4667|68.7167),Hyderabad(25.3792|68.3683)
Thatta(24.7461|67.9243),Karachi(24.86|67.01) 
Toba Tek Singh(30.9667|72.4833),Faisalabad(31.418|73.079)
Turbat(26.0031|63.0544),"Gwadar(25.1264|62.3225), Khuzdar(27.8|66.6167), Lasbela(25.4833|65.4167)"
Zhob(31.3417|69.4486),Quetta(30.192|67.007)
